player_name,position,season,scouting_blurb,Rnd,Pick,Tm,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,player_id
Trevor Lawrence,QB,2021,"A quarterback from , selected in Round 1.0, Pick 1, with notable passing experience.",1.0,1.0,JAX,21.0,2024.0,0.0,1.0,4.0,39.0,39.0,60.0,1288.0,2034.0,13815.0,69.0,46.0,231.0,1083.0,14.0,0.0,-5.0,0.0,4.0,,,Clemson,College Stats,LawrTr00,lawtre001
Zach Wilson,QB,2021,"A quarterback from , selected in Round 1.0, Pick 2, with notable passing experience.",1.0,2.0,NYJ,22.0,2023.0,0.0,0.0,3.0,13.0,13.0,34.0,566.0,993.0,6293.0,23.0,25.0,93.0,498.0,5.0,1.0,2.0,1.0,1.0,,,BYU,College Stats,WilsZa00,wilzac001
Trey Lance,QB,2021,"A quarterback from , selected in Round 1.0, Pick 3, with notable passing experience.",1.0,3.0,SFO,21.0,2024.0,0.0,0.0,0.0,5.0,4.0,12.0,81.0,143.0,1063.0,5.0,4.0,65.0,276.0,1.0,0.0,0.0,0.0,1.0,,,North Dakota St.,College Stats,LancTr00,lantre001
Kyle Pitts,TE,2021,"A tight end out of , picked in Round 1.0, Pick 4, with solid athletic traits.",1.0,4.0,ATL,20.0,2024.0,0.0,1.0,4.0,21.0,21.0,61.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,196.0,2651.0,10.0,3.0,,,Florida,College Stats,PittKy00,pitkyl001
Ja'Marr Chase,WR,2021,"A wide receiver from , drafted in Round 1.0, Pick 5, known for receiving potential.",1.0,5.0,CIN,21.0,2024.0,1.0,4.0,4.0,48.0,48.0,62.0,1.0,1.0,-7.0,0.0,0.0,18.0,55.0,0.0,395.0,5425.0,46.0,6.0,,,LSU,College Stats,ChasJa00,chajam001
Jaylen Waddle,WR,2021,"A wide receiver from , drafted in Round 1.0, Pick 6, known for receiving potential.",1.0,6.0,MIA,22.0,2024.0,0.0,0.0,4.0,34.0,34.0,62.0,0.0,0.0,0.0,0.0,0.0,12.0,53.0,1.0,309.0,4129.0,20.0,4.0,,,Alabama,College Stats,WaddJa00,wadjay001
Devonta Smith,WR,2021,"A wide receiver from , drafted in Round 1.0, Pick 10, known for receiving potential.",1.0,10.0,PHI,22.0,2024.0,0.0,0.0,4.0,40.0,40.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,308.0,4011.0,27.0,1.0,,,Alabama,College Stats,SmitDe07,smidev002
Justin Fields,QB,2021,"A quarterback from , selected in Round 1.0, Pick 11, with notable passing experience.",1.0,11.0,CHI,22.0,2024.0,0.0,0.0,3.0,39.0,34.0,50.0,684.0,1119.0,7780.0,45.0,31.0,418.0,2509.0,19.0,0.0,0.0,0.0,,,,Ohio St.,College Stats,FielJu00,fiejus001
Mac Jones,QB,2021,"A quarterback from , selected in Round 1.0, Pick 15, with notable passing experience.",1.0,15.0,NWE,23.0,2024.0,0.0,1.0,3.0,27.0,24.0,52.0,1035.0,1570.0,10590.0,54.0,44.0,145.0,419.0,2.0,0.0,0.0,0.0,1.0,,,Alabama,College Stats,JoneMa05,jonmac001
Kadarius Toney,WR,2021,"A wide receiver from , drafted in Round 1.0, Pick 20, known for receiving potential.",1.0,20.0,NYG,22.0,2024.0,0.0,0.0,0.0,7.0,3.0,35.0,1.0,4.0,19.0,0.0,0.0,23.0,115.0,1.0,82.0,760.0,3.0,1.0,,,Florida,College Stats,ToneKa00,tonkad001
Najee Harris,RB,2021,"A running back from , taken in Round 1.0, Pick 24, with strong rushing upside.",1.0,24.0,PIT,23.0,2024.0,0.0,1.0,4.0,29.0,29.0,68.0,1.0,1.0,4.0,0.0,0.0,1097.0,4312.0,28.0,180.0,1149.0,6.0,4.0,,,Alabama,College Stats,HarrNa00,harnaj001
Travis Etienne,RB,2021,"A running back from , taken in Round 1.0, Pick 25, with strong rushing upside.",1.0,25.0,JAX,22.0,2024.0,0.0,0.0,3.0,24.0,24.0,49.0,0.0,0.0,0.0,0.0,0.0,637.0,2691.0,18.0,132.0,1046.0,1.0,,,,Clemson,College Stats,EtieTr00,etitra001
Rashod Bateman,WR,2021,"A wide receiver from , drafted in Round 1.0, Pick 27, known for receiving potential.",1.0,27.0,BAL,21.0,2024.0,0.0,0.0,2.0,18.0,18.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,138.0,1923.0,13.0,,,,Minnesota,College Stats,BateRa00,batras001
Elijah Moore,WR,2021,"A wide receiver from , drafted in Round 2.0, Pick 34, known for receiving potential.",2.0,34.0,NYJ,21.0,2024.0,0.0,0.0,3.0,14.0,7.0,61.0,0.0,0.0,0.0,0.0,0.0,20.0,71.0,1.0,200.0,2162.0,9.0,4.0,,,Mississippi,College Stats,MoorEl00,mooeli001
Javonte Williams,RB,2021,"A running back from , taken in Round 2.0, Pick 35, with strong rushing upside.",2.0,35.0,DEN,21.0,2024.0,0.0,0.0,2.0,20.0,20.0,54.0,0.0,0.0,0.0,0.0,0.0,606.0,2394.0,11.0,158.0,966.0,5.0,1.0,,,North Carolina,College Stats,WillJa10,wiljav001
Rondale Moore,WR,2021,"A wide receiver from , drafted in Round 2.0, Pick 49, known for receiving potential.",2.0,49.0,ARI,21.0,2023.0,0.0,0.0,0.0,12.0,12.0,39.0,0.0,0.0,0.0,0.0,0.0,52.0,249.0,1.0,135.0,1201.0,3.0,1.0,,,Purdue,College Stats,MoorRo02,mooron001
Pat Freiermuth,TE,2021,"A tight end out of , picked in Round 2.0, Pick 55, with solid athletic traits.",2.0,55.0,PIT,22.0,2024.0,0.0,0.0,2.0,18.0,18.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,2190.0,18.0,2.0,,,Penn St.,College Stats,FreiPa00,frepat001
D'Wayne Eskridge,WR,2021,"A wide receiver from , drafted in Round 2.0, Pick 56, known for receiving potential.",2.0,56.0,SEA,24.0,2024.0,0.0,0.0,0.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,74.0,0.0,20.0,166.0,1.0,1.0,,,Western Michigan,College Stats,EskrDW00,eskdwa001
Tutu Atwell,WR,2021,"A wide receiver from , drafted in Round 2.0, Pick 57, known for receiving potential.",2.0,57.0,LAR,21.0,2024.0,0.0,0.0,1.0,12.0,12.0,54.0,0.0,1.0,0.0,0.0,0.0,16.0,72.0,1.0,99.0,1343.0,4.0,,,,Louisville,College Stats,AtweTu00,atwtut001
Terrace Marshall Jr.,WR,2021,"A wide receiver from , drafted in Round 2.0, Pick 59, known for receiving potential.",2.0,59.0,CAR,21.0,2024.0,0.0,0.0,1.0,6.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,808.0,1.0,1.0,,,LSU,College Stats,MarsTe00,jrrter001
Kyle Trask,QB,2021,"A quarterback from , selected in Round 2.0, Pick 64, with notable passing experience.",2.0,64.0,TAM,23.0,2024.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,11.0,28.0,0.0,0.0,6.0,-5.0,0.0,0.0,0.0,0.0,,,,Florida,College Stats,TrasKy00,trakyl001
Kellen Mond,QB,2021,"A quarterback from , selected in Round 3.0, Pick 66, with notable passing experience.",3.0,66.0,MIN,22.0,2021.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Texas A&M,College Stats,MondKe00,monkel001
Davis Mills,QB,2021,"A quarterback from , selected in Round 3.0, Pick 67, with notable passing experience.",3.0,67.0,HOU,22.0,2024.0,0.0,0.0,2.0,15.0,15.0,38.0,593.0,948.0,6167.0,35.0,25.0,55.0,172.0,2.0,0.0,0.0,0.0,2.0,,,Stanford,College Stats,MillDa02,mildav001
Josh Palmer,WR,2021,"A wide receiver from , drafted in Round 3.0, Pick 77, known for receiving potential.",3.0,77.0,LAC,21.0,2024.0,0.0,0.0,1.0,19.0,19.0,58.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,182.0,2287.0,10.0,2.0,,,Tennessee,College Stats,PalmJo00,paljos001
Hunter Long,TE,2021,"A tight end out of , picked in Round 3.0, Pick 81, with solid athletic traits.",3.0,81.0,MIA,23.0,2024.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,68.0,0.0,3.0,,,Boston Col.,College Stats,LongHu00,lonhun001
Dyami Brown,WR,2021,"A wide receiver from , drafted in Round 3.0, Pick 82, known for receiving potential.",3.0,82.0,WAS,21.0,2024.0,0.0,0.0,0.0,6.0,6.0,63.0,1.0,2.0,4.0,0.0,0.0,6.0,37.0,0.0,59.0,784.0,4.0,4.0,,,North Carolina,College Stats,BrowDy00,brodya001
Tommy Tremble,TE,2021,"A tight end out of , picked in Round 3.0, Pick 83, with solid athletic traits.",3.0,83.0,CAR,21.0,2024.0,0.0,0.0,1.0,6.0,6.0,61.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,85.0,782.0,9.0,7.0,,,Notre Dame,College Stats,TremTo00,tretom001
